年份,省份,区域,改进时间衰减法,传统CRITIC熵权法,单纯熵权法
2019,天津,东部,0.25608489080878744,0.25564816069735635,0.2151225664694476
2019,宁夏,西部,0.18962000148261654,0.18491897264115573,0.11462906970305758
2019,安徽,中部,0.2026173578877722,0.19727443274779619,0.1374652836391552
2019,山东,东部,0.24083639655623612,0.23495431861121377,0.18074569612385105
2019,山西,中部,0.27688106291817394,0.2751739322838016,0.2142441161388895
2019,广东,东部,0.4072649789774335,0.40389060853491926,0.38142556785374093
2019,广西,西部,0.21532674203621407,0.20859968758268096,0.13079746930772718
2019,新疆,西部,0.2287541833955904,0.21860279030395452,0.12417339694841709
2019,江苏,东部,0.2992235811530274,0.29292877949936824,0.23760331178942037
2019,江西,中部,0.20884484664863895,0.2032863411025223,0.13427470519763496
2019,河北,东部,0.21556594018713526,0.21222899281660768,0.16027165824237855
2019,河南,中部,0.18350223458296538,0.17965552010802308,0.13353448638639867
2019,浙江,东部,0.2612009111676586,0.25573606722338915,0.20120080422570102
2019,海南,东部,0.18169623613518815,0.17613902054890296,0.10923775687265652
2019,湖北,中部,0.19693677864954262,0.19168440137242587,0.1373616723243205
2019,湖南,中部,0.20056403360171804,0.19411803410563322,0.13100819374335249
2019,甘肃,西部,0.170430250571144,0.1631894567904556,0.09105266151401106
2019,福建,东部,0.22287023683793883,0.21756482908669697,0.15377290860564535
2019,贵州,西部,0.2028318844146596,0.19445333813958146,0.11407660532933087
2019,辽宁,东北,0.2573067774627942,0.25181511325309724,0.18096944484773558
2019,重庆,西部,0.20605664915469446,0.20198972288804895,0.14431721723539925
2019,陕西,西部,0.16943598801799803,0.16453515435688293,0.1095468672104841
2019,青海,西部,0.21268495693093392,0.20615095795025026,0.12281499059086379
2019,黑龙江,东北,0.23862790327354894,0.23071696008321885,0.1451101665130159
2020,上海,东部,0.4026472703331299,0.40207877428840055,0.38033746678110647
2020,云南,西部,0.23530740429093505,0.22564171073882788,0.13566978494808243
2020,内蒙古,西部,0.2465242311910143,0.23629346289553158,0.1383856499580089
2020,北京,东部,0.3638200618328731,0.36114565455111725,0.3210208476848036
2020,吉林,东北,0.21570194358945283,0.20987224466552612,0.1372172100526221
2020,四川,西部,0.26884970086934196,0.2592393610786661,0.17496657645802
2020,天津,东部,0.24002735419882065,0.23737366949989067,0.19117312167451223
2020,宁夏,西部,0.20954238858293286,0.2046196924706285,0.13052236531238556
2020,安徽,中部,0.22912211132650162,0.22374719395386694,0.1618453448982254
2020,山东,东部,0.27331539184463327,0.2677199488129689,0.2115119189892254
2020,山西,中部,0.23409875715110862,0.2296710202980582,0.16438290365120953
