年份,省份,区域,双系统综合发展指数_改进模型,全国排名_改进模型,双系统综合发展指数_传统模型,全国排名_传统模型,指数差值_改进减传统,排名差值_改进减传统
2022,浙江,东部,0.31521476547648386,5.0,0.31521476547648386,5.0,0.0,0.0
2022,山东,东部,0.27978578378596064,6.0,0.27978578378596064,6.0,0.0,0.0
2022,四川,西部,0.2738632266681119,7.0,0.2738632266681119,7.0,0.0,0.0
2022,福建,东部,0.2546978090792992,8.0,0.2546978090792991,8.0,5.551115123125783e-17,0.0
2022,新疆,西部,0.24924173112050044,9.0,0.2492417311205004,9.0,2.7755575615628914e-17,0.0
2022,天津,东部,0.24895136141156457,10.0,0.24895136141156454,10.0,2.7755575615628914e-17,0.0
2022,辽宁,东北,0.24739451041492733,11.0,0.2473945104149273,11.0,2.7755575615628914e-17,0.0
2022,安徽,中部,0.2431108269680669,12.0,0.2431108269680669,12.0,0.0,0.0
2022,内蒙古,西部,0.23814999157325667,13.0,0.23814999157325667,13.0,0.0,0.0
2022,湖北,中部,0.23788195389670763,14.0,0.23788195389670763,14.0,0.0,0.0
2022,云南,西部,0.2360908762348804,15.0,0.23609087623488037,15.0,2.7755575615628914e-17,0.0
2022,重庆,西部,0.23480420572094707,16.0,0.234804205720947,16.0,5.551115123125783e-17,0.0
2022,湖南,中部,0.23061352042704886,17.0,0.23061352042704886,17.0,0.0,0.0
2022,黑龙江,东北,0.22805587616576573,18.0,0.22805587616576573,18.0,0.0,0.0
2022,江西,中部,0.22712458164471622,19.0,0.22712458164471622,19.0,0.0,0.0
2022,青海,西部,0.22510235269823492,20.0,0.2251023526982349,20.0,2.7755575615628914e-17,0.0
2022,贵州,西部,0.2238208771518667,21.0,0.22382087715186663,21.0,5.551115123125783e-17,0.0
2022,广西,西部,0.22190521813975383,22.0,0.2219052181397538,22.0,2.7755575615628914e-17,0.0
2022,山西,中部,0.21250814230243528,23.0,0.21250814230243528,23.0,0.0,0.0
2022,宁夏,西部,0.20918183046046382,24.0,0.2091818304604638,24.0,2.7755575615628914e-17,0.0
